Epoch,CalculatedHashRate,RealHashRate,RealDuration
0,1000,1000,600000
1,1000,1100,545454
2,1100,1200,550000
3,1200,1300,553846
4,1300,1400,557142
5,1400,1500,560000
6,1500,1600,562500
7,1600,1700,564705
8,1700,1800,566666
9,1800,1900,568421
10,1900,2000,570000
11,2000,2100,571428
12,2100,2200,572727
13,2200,2300,573913
14,2300,2400,575000
15,2400,2500,576000
16,2500,2600,576923
17,2600,2700,577777
18,2700,2800,578571
19,2800,2900,579310
20,2900,3000,580000
21,3000,3100,580645
22,3100,3200,581250
23,3200,3300,581818
24,3300,3400,582352
25,3400,3500,582857
26,3500,3600,583333
27,3600,3700,583783
28,3700,3800,584210
29,3800,3900,584615
30,3900,4000,585000
31,4000,4100,585365
32,4100,4200,585714
33,4200,4300,586046
34,4300,4400,586363
35,4400,4500,586666
36,4500,4600,586956
37,4600,4700,587234
38,4700,4800,587500
39,4800,4900,587755
40,4900,5000,588000
41,5000,5100,588235
42,5100,5200,588461
43,5200,5300,588679
44,5300,5400,588888
45,5400,5500,589090
46,5500,5600,589285
47,5600,5700,589473
48,5700,5800,589655
49,5800,5900,589830
50,5900,6000,590000
51,6000,6100,590163
52,6100,6200,590322
53,6200,6300,590476
54,6300,6400,590625
55,6400,6500,590769
56,6500,6600,590909
57,6600,6700,591044
58,6700,6800,591176
59,6800,6900,591304
60,6900,7000,591428
61,7000,7100,591549
62,7100,7200,591666
63,7200,7300,591780
64,7300,7400,591891
65,7400,7500,592000
66,7500,7600,592105
67,7600,7700,592207
68,7700,7800,592307
69,7800,7900,592405
70,7900,8000,592500
71,8000,8100,592592
72,8100,8200,592682
73,8200,8300,592771
74,8300,8400,592857
75,8400,8500,592941
76,8500,8600,593023
77,8600,8700,593103
78,8700,8800,593181
79,8800,8900,593258
80,8900,9000,593333
81,9000,9100,593406
82,9100,9200,593478
83,9200,9300,593548
84,9300,9400,593617
85,9400,9500,593684
86,9500,9600,593750
87,9600,9700,593814
88,9700,9800,593877
89,9800,9900,593939
90,9900,10000,594000
91,10000,10100,594059
92,10100,10200,594117
93,10200,10300,594174
94,10300,10400,594230
95,10400,10500,594285
96,10500,10600,594339
97,10600,10700,594392
98,10700,10800,594444
99,10800,10900,594495
100,10900,11000,594545
101,11000,11100,594594
102,11100,11200,594642
103,11200,11300,594690
104,11300,11400,594736
105,11400,11500,594782
106,11500,11600,594827
107,11600,11700,594871
108,11700,11800,594915
109,11800,11900,594957
110,11900,12000,595000
111,12000,12100,595041
112,12100,12200,595081
113,12200,12300,595121
114,12300,12400,595161
115,12400,12500,595200
116,12500,12600,595238
117,12600,12700,595275
118,12700,12800,595312
119,12800,12900,595348
120,12900,13000,595384
121,13000,13100,595419
122,13100,13200,595454
123,13200,13300,595488
124,13300,13400,595522
125,13400,13500,595555
126,13500,13600,595588
127,13600,13700,595620
128,13700,13800,595652
129,13800,13900,595683
130,13900,14000,595714
131,14000,14100,595744
132,14100,14200,595774
133,14200,14300,595804
134,14300,14400,595833
135,14400,14500,595862
136,14500,14600,595890
137,14600,14700,595918
138,14700,14800,595945
139,14800,14900,595973
140,14900,15000,596000
141,15000,15100,596026
142,15100,15200,596052
143,15200,15300,596078
144,15300,15400,596103
145,15400,15500,596129
146,15500,15600,596153
147,15600,15700,596178
148,15700,15800,596202
149,15800,15900,596226
150,15900,16000,596250
151,16000,16100,596273
152,16100,16200,596296
153,16200,16300,596319
154,16300,16400,596341
155,16400,16500,596363
156,16500,16600,596385
157,16600,16700,596407
158,16700,16800,596428
159,16800,16900,596449
160,16900,17000,596470
161,17000,17100,596491
162,17100,17200,596511
163,17200,17300,596531
164,17300,17400,596551
165,17400,17500,596571
166,17500,17600,596590
167,17600,17700,596610
168,17700,17800,596629
169,17800,17900,596648
170,17900,18000,596666
171,18000,18100,596685
172,18100,18200,596703
173,18200,18300,596721
174,18300,18400,596739
175,18400,18500,596756
176,18500,18600,596774
177,18600,18700,596791
178,18700,18800,596808
179,18800,18900,596825
180,18900,19000,596842
181,19000,19100,596858
182,19100,19200,596875
183,19200,19300,596891
184,19300,19400,596907
185,19400,19500,596923
186,19500,19600,596938
187,19600,19700,596954
188,19700,19800,596969
189,19800,19900,596984
190,19900,20000,597000
191,20000,20100,597014
192,20100,20200,597029
193,20200,20300,597044
194,20300,20400,597058
195,20400,20500,597073
196,20500,20600,597087
197,20600,20700,597101
198,20700,20800,597115
199,20800,20900,597129
200,20900,21000,597142
201,21000,21100,597156
202,21100,21200,597169
203,21200,21300,597183
204,21300,21400,597196
205,21400,21500,597209
206,21500,21600,597222
207,21600,21700,597235
208,21700,21800,597247
209,21800,21900,597260
210,21900,22000,597272
211,22000,22100,597285
212,22100,22200,597297
213,22200,22300,597309
214,22300,22400,597321
215,22400,22500,597333
216,22500,22600,597345
217,22600,22700,597356
218,22700,22800,597368
219,22800,22900,597379
220,22900,23000,597391
221,23000,23100,597402
222,23100,23200,597413
223,23200,23300,597424
224,23300,23400,597435
225,23400,23500,597446
226,23500,23600,597457
227,23600,23700,597468
228,23700,23800,597478
591818
